time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-02-18T10:01:41.790Z,37.1463,140.1669,106.59,4.6,mb,,115,0.875,0.71,us,us2000d45b,2018-02-19T07:10:46.712Z,"22km NNE of Kuroiso, Japan",earthquake,6.6,6.7,0.065,70,reviewed,us,us
2018-02-18T09:16:46.680Z,44.744,-110.987,8.78,2.6,ml,18,66,0.02053,0.18,uu,uu60269602,2018-02-18T17:19:16.495Z,"12km NE of West Yellowstone, Montana",earthquake,0.4,0.75,0.145,4,reviewed,uu,uu
2018-02-18T09:09:37.830Z,19.4153,-65.0488,82,3.65,md,12,327,1.5037,0.43,pr,pr2018049005,2018-02-18T09:58:07.040Z,"133km NNW of Road Town, British Virgin Islands",earthquake,5.98,12.93,0.11,11,reviewed,pr,pr
2018-02-18T08:20:06.530Z,56.2381,-150.0088,10,3.9,mb,,153,2.058,0.54,us,us2000d44j,2018-02-18T08:39:35.040Z,"226km SE of Kodiak, Alaska",earthquake,4.5,1.9,0.229,6,reviewed,us,us
2018-02-18T08:14:31.570Z,18.6418,-66.7538,65,2.7,md,14,227,0.2782,0.31,pr,pr2018049006,2018-02-18T13:40:34.372Z,"18km NNE of Hatillo, Puerto Rico",earthquake,1.33,1.37,0.26,13,reviewed,pr,pr
2018-02-18T08:07:28.120Z,36.4633331,-121.041832,4.65,2.66,md,51,103,0.0427,0.09,nc,nc72971386,2018-02-18T23:49:01.323Z,"12km SE of Pinnacles, CA",earthquake,0.23,0.51,0.15,53,automatic,nc,nc
2018-02-18T07:51:51.417Z,63.6076,-149.9051,140.2,2.8,ml,,,,0.41,ak,ak18446291,2018-02-18T08:18:15.040Z,"53km WNW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-02-18T07:43:46.400Z,-39.9462,176.2841,18.69,4.7,mwr,,96,0.733,1.12,us,us2000d43z,2018-02-19T10:48:29.009Z,"59km SW of Hastings, New Zealand",earthquake,4.1,4.1,0.049,40,reviewed,us,us
2018-02-18T07:26:56.060Z,-6.0345,147.3428,95.4,4.6,mb,,81,3.353,0.97,us,us2000d43u,2018-02-18T07:45:31.040Z,"85km NNE of Lae, Papua New Guinea",earthquake,8.7,8.7,0.101,29,reviewed,us,us
2018-02-18T07:04:43.910Z,-6.0462,100.7918,10.84,4.9,mb,,100,2.729,0.82,us,us2000d43n,2018-02-18T07:26:48.040Z,"297km SSW of Bengkulu, Indonesia",earthquake,7.6,4.3,0.072,60,reviewed,us,us
2018-02-18T06:46:38.660Z,18.6088,-66.8771,65,3.07,md,10,233,0.2734,0.42,pr,pr2018049004,2018-02-18T07:45:04.304Z,"14km NNW of Hatillo, Puerto Rico",earthquake,1.72,1.84,0.25,9,reviewed,pr,pr
2018-02-18T06:10:15.240Z,44.7391667,-110.988,6.69,2.69,ml,12,74,0.02396,0.11,uu,uu60269402,2018-02-18T07:48:13.470Z,"12km NE of West Yellowstone, Montana",earthquake,0.41,0.78,0.149,4,reviewed,uu,uu
2018-02-18T05:53:02.480Z,44.7455,-110.9968333,10.13,2.91,md,23,40,0.01534,0.21,uu,uu60269362,2018-02-18T06:27:09.640Z,"13km NE of West Yellowstone, Montana",earthquake,0.38,0.61,0.217,14,reviewed,uu,uu
2018-02-18T05:49:44.720Z,32.5201667,-115.2665,20.96,2.84,ml,25,92,0.1055,0.29,ci,ci38111320,2018-02-18T22:13:08.129Z,"10km ESE of Puebla, B.C., MX",earthquake,0.69,1.36,0.238,25,automatic,ci,ci
2018-02-18T05:37:46.540Z,44.7461667,-110.9881667,9.68,2.93,md,24,49,0.01837,0.21,uu,uu60269347,2018-02-18T06:09:39.890Z,"12km NE of West Yellowstone, Montana",earthquake,0.38,0.66,0.176,11,reviewed,uu,uu
2018-02-18T04:47:21.860Z,-4.9053,130.486,115.18,5,mww,,17,2.643,0.92,us,us2000d42b,2018-02-18T21:57:08.040Z,"246km SE of Amahai, Indonesia",earthquake,6.5,4.5,0.073,18,reviewed,us,us
2018-02-18T04:44:49.610Z,35.7969,-98.5617,4.32,3,mb_lg,,37,0.183,0.56,us,us2000d426,2018-02-18T17:31:48.843Z,"14km WSW of Watonga, Oklahoma",earthquake,2.8,7.8,0.055,86,reviewed,us,us
2018-02-18T04:41:35.390Z,56.161,-149.76,19.06,3.2,ml,,210,2.217,0.62,us,us2000d45f,2018-02-18T22:06:32.040Z,"242km SE of Kodiak, Alaska",earthquake,8.4,9.6,0.051,50,reviewed,us,us
2018-02-18T04:28:28.820Z,44.7444992,-110.9778366,7.66,2.57,ml,23,43,0.02504,0.36,uu,uu60269242,2018-02-18T22:12:08.040Z,"13km NE of West Yellowstone, Montana",earthquake,0.68,0.95,0.27,5,reviewed,uu,uu
2018-02-18T03:44:13.020Z,32.3208,105.2472,16.66,4.8,mb,,47,4.167,0.75,us,us2000d41s,2018-02-18T05:58:16.040Z,"4km WNW of Qifo, China",earthquake,8.5,3.9,0.049,129,reviewed,us,us
2018-02-18T02:54:54.280Z,-58.5856,-25.9117,59.92,5.3,mb,,27,7.274,0.75,us,us2000d41i,2018-02-18T03:27:47.040Z,"60km NE of Bristol Island, South Sandwich Islands",earthquake,9.4,4.5,0.052,125,reviewed,us,us
2018-02-18T02:20:17.680Z,19.0445,-64.811,61,3.12,md,4,338,1.3753,0.18,pr,pr2018049003,2018-02-18T05:17:33.437Z,"72km NNW of Road Town, British Virgin Islands",earthquake,4.99,10.9,0.2,3,reviewed,pr,pr
2018-02-18T01:59:00.820Z,56.3919,-148.7061,20.89,4,mb,,150,2.534,0.58,us,us2000d417,2018-02-18T03:00:56.807Z,"273km ESE of Kodiak, Alaska",earthquake,2.7,8.9,0.367,2,reviewed,us,us
2018-02-18T01:44:26.620Z,56.4002,-148.7462,17.07,4.3,mb,,140,2.511,0.67,us,us2000d415,2018-02-18T02:57:21.986Z,"270km ESE of Kodiak, Alaska",earthquake,6.2,4.5,0.064,69,reviewed,us,us
2018-02-18T01:31:22.290Z,18.8023,-66.522,23,2.64,md,2,324,0.5113,0.06,pr,pr2018049001,2018-02-18T05:17:02.109Z,"37km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,1.43,7.19,0,1,reviewed,pr,pr
2018-02-18T01:06:08.380Z,53.6704,-162.4557,32.02,3.9,mb,,212,2.016,0.98,us,us2000d40s,2018-02-18T01:37:55.040Z,"145km SSE of False Pass, Alaska",earthquake,13.4,12.2,0.098,28,reviewed,us,us
2018-02-18T00:25:40.460Z,-6.299,154.2172,10,4.6,mb,,62,2.926,0.75,us,us2000d40g,2018-02-18T00:46:33.040Z,"140km W of Panguna, Papua New Guinea",earthquake,4.3,1.9,0.103,28,reviewed,us,us
2018-02-17T22:42:19.530Z,56.1071,-148.5359,19.77,3.6,ml,,202,2.781,0.57,us,us2000d3zh,2018-02-17T22:54:49.040Z,"300km SE of Kodiak, Alaska",earthquake,9.8,9.8,0.056,42,reviewed,us,us
2018-02-17T22:32:12.010Z,36.8332,55.2469,10,4.2,mb,,73,8.876,1.21,us,us2000d3zf,2018-02-17T22:48:59.040Z,"28km SSE of Shah Pasand, Iran",earthquake,9.2,2,0.128,17,reviewed,us,us
2018-02-17T21:41:37.640Z,55.8722,-150.11,4.51,3.9,mb,,190,2.219,0.66,us,us2000d3yx,2018-02-17T22:18:27.040Z,"255km SE of Kodiak, Alaska",earthquake,4.3,7.6,0.362,2,reviewed,us,us
2018-02-17T21:30:45.100Z,16.6266,-97.7892,20.78,5.1,mww,,154,1.191,0.79,us,us2000d3yq,2018-02-19T07:14:47.266Z,"25km SE of Santa Maria Zacatepec, Mexico",earthquake,8.5,4.8,0.066,22,reviewed,us,us
2018-02-17T21:19:14.990Z,40.470665,-121.518837,-1.15,2.64,md,26,91,0.06315,0.23,nc,nc72971081,2018-02-18T18:12:25.154Z,"13km NNE of Mineral, CA",earthquake,0.47,4.71,0.16,22,automatic,nc,nc
2018-02-17T20:12:27.110Z,56.3349,-149.4088,32.7,3.4,ml,,,,0.58,ak,ak18442654,2018-02-17T20:38:20.962Z,"243km SE of Kodiak, Alaska",earthquake,,3.2,,,automatic,ak,ak
2018-02-17T19:08:06.990Z,34.0413333,-117.2293333,15.59,2.8,ml,116,15,0.08021,0.2,ci,ci38110864,2018-02-18T17:31:27.858Z,"3km ESE of Loma Linda, CA",earthquake,0.18,0.44,0.204,24,automatic,ci,ci
2018-02-17T18:56:27.170Z,-8.9431,110.9859,62.74,4.9,mb,,53,1.121,0.76,us,us2000d3xf,2018-02-18T05:18:43.482Z,"88km SSW of Sukorejo, Indonesia",earthquake,5.3,6,0.075,56,reviewed,us,us
2018-02-17T18:27:29.630Z,38.8255005,-122.8529968,2.11,2.51,md,42,59,0.003652,0.04,nc,nc72970996,2018-02-17T20:46:03.156Z,"10km WNW of The Geysers, CA",earthquake,0.17,0.24,0.16,25,automatic,nc,nc
2018-02-17T17:48:40.120Z,44.7421684,-110.9909973,9.28,2.6,ml,25,47,0.02028,0.33,uu,uu60268892,2018-02-17T19:21:55.040Z,"12km NE of West Yellowstone, Montana",earthquake,0.55,1.1,0.2,6,reviewed,uu,uu
2018-02-17T15:13:57.550Z,-6.3576,154.3482,33.02,5,mww,,64,3.06,1.12,us,us2000d3va,2018-02-17T15:35:54.040Z,"125km W of Panguna, Papua New Guinea",earthquake,5.1,5.9,0.073,18,reviewed,us,us
2018-02-17T14:45:36.756Z,38.3518,-118.3219,10.9,2.7,ml,21,127.29,0.175,0.2121,nn,nn00622043,2018-02-17T18:42:33.121Z,"32km SE of Hawthorne, Nevada",earthquake,,2.5,0.33,8,reviewed,nn,nn
2018-02-17T14:31:04.910Z,51.7071,-3.8727,11.01,4.2,mb,,122,2.172,1.41,us,us2000d3uw,2018-02-19T23:07:02.598Z,"3km NE of Clydach, United Kingdom",earthquake,7.3,5.9,0.2,7,reviewed,us,us
2018-02-17T14:07:35.160Z,16.5124,-97.6644,10,4.1,mb,,179,1.354,1,us,us2000d3ut,2018-02-17T14:51:29.040Z,"26km NE of Santa Catarina Mechoacan, Mexico",earthquake,13.1,2,0.075,49,reviewed,us,us
2018-02-17T12:16:05.720Z,33.4108333,-116.42,14.06,2.81,ml,98,19,0.1124,0.22,ci,ci38110632,2018-02-18T16:41:13.521Z,"18km NNW of Borrego Springs, CA",earthquake,0.19,0.39,0.152,26,automatic,ci,ci
2018-02-17T11:54:13.040Z,37.8358345,-121.9778366,5.86,2.5,md,45,57,0.07017,0.09,nc,nc72970821,2018-02-19T19:23:57.946Z,"2km W of Diablo, CA",earthquake,0.17,0.37,0.16,47,automatic,nc,nc
2018-02-17T10:49:06.410Z,22.2181,-108.2357,10,4,mb,,209,2.148,0.89,us,us2000d3u6,2018-02-17T23:17:30.094Z,"176km ESE of San Jose del Cabo, Mexico",earthquake,4.7,2,0.057,83,reviewed,us,us
2018-02-17T10:31:23.420Z,51.9293,-171.0834,6.5,3.9,ml,,,,0.3,ak,ak18440583,2018-02-17T23:15:27.438Z,"63km S of Amukta Island, Alaska",earthquake,,15.3,,,reviewed,ak,ak
2018-02-17T10:16:57.030Z,34.0886667,-118.2551667,6.17,2.91,ml,94,22,0.04758,0.26,ci,ci38110592,2018-02-19T21:00:22.599Z,"1km ESE of Silver Lake, CA",earthquake,0.21,0.79,0.125,21,automatic,ci,ci
2018-02-17T10:06:00.920Z,13.7923,-90.6557,77.12,4.3,mb,,180,1.243,0.86,us,us2000d3tu,2018-02-17T14:32:32.269Z,"16km SSE of Iztapa, Guatemala",earthquake,8,7.3,0.078,46,reviewed,us,us
2018-02-17T09:41:32.980Z,35.69,-98.8359,5,2.8,mb_lg,,106,0.127,0.31,us,us2000d3tk,2018-02-18T06:29:14.956Z,"10km SW of Thomas, Oklahoma",earthquake,2.2,2,0.059,74,reviewed,us,us
2018-02-17T09:06:35.090Z,22.5776,121.4167,10,4.2,mb,,108,0.392,0.69,us,us2000d3te,2018-02-19T15:08:36.523Z,"34km SE of Taitung City, Taiwan",earthquake,5.3,1.9,0.106,25,reviewed,us,us
2018-02-17T08:32:14.120Z,-0.776,133.8341,37.14,4.6,mb,,116,2.653,0.77,us,us2000d3t8,2018-02-17T15:39:44.686Z,"29km WNW of Manokwari, Indonesia",earthquake,10.3,7.5,0.089,38,reviewed,us,us
2018-02-17T08:00:31.240Z,18.1323,-67.7716,136,3.14,md,7,203,0.6739,0.23,pr,pr2018048004,2018-02-17T12:48:24.996Z,"59km WSW of Rincon, Puerto Rico",earthquake,3.25,1.72,0.17,6,reviewed,pr,pr
